Fold 4 Ep  48/60 | loss=0.090 | bal_acc=0.8884 f1=0.8814 auc=0.9145
Fold 4 Ep  49/60 | loss=0.087 | bal_acc=0.8884 f1=0.8814 auc=0.9145
Fold 4 Ep  50/60 | loss=0.086 | bal_acc=0.8884 f1=0.8814 auc=0.9145
Fold 4 Ep  51/60 | loss=0.087 | bal_acc=0.8884 f1=0.8814 auc=0.9124
Fold 4 Ep  52/60 | loss=0.089 | bal_acc=0.8884 f1=0.8814 auc=0.9142
Fold 4 Ep  53/60 | loss=0.088 | bal_acc=0.8884 f1=0.8814 auc=0.9147
Fold 4 Ep  54/60 | loss=0.092 | bal_acc=0.8884 f1=0.8814 auc=0.9144
Fold 4 Ep  55/60 | loss=0.092 | bal_acc=0.8884 f1=0.8814 auc=0.9148
Fold 4 Ep  56/60 | loss=0.092 | bal_acc=0.8884 f1=0.8814 auc=0.9150
Fold 4 Ep  57/60 | loss=0.089 | bal_acc=0.8884 f1=0.8814 auc=0.9150
Fold 4 Ep  58/60 | loss=0.091 | bal_acc=0.8884 f1=0.8814 auc=0.9167
Fold 4 Ep  59/60 | loss=0.087 | bal_acc=0.8884 f1=0.8814 auc=0.9150
Fold 4 Ep  60/60 | loss=0.085 | bal_acc=0.8884 f1=0.8814 auc=0.9129
Fold 5 Ep   1/60 | loss=0.186 | bal_acc=0.8074 f1=0.8331 auc=0.8955
Fold 5 Ep   2/60 | loss=0.165 | bal_acc=0.8557 f1=0.8649 auc=0.8938
Fold 5 Ep   3/60 | loss=0.136 | bal_acc=0.8074 f1=0.8331 auc=0.8936
Fold 5 Ep   4/60 | loss=0.132 | bal_acc=0.8539 f1=0.8624 auc=0.8955
Fold 5 Ep   5/60 | loss=0.176 | bal_acc=0.8074 f1=0.8331 auc=0.8956
Fold 5 Ep   6/60 | loss=0.182 | bal_acc=0.8539 f1=0.8624 auc=0.8935
Fold 5 Ep   7/60 | loss=0.144 | bal_acc=0.8286 f1=0.8478 auc=0.8950
Fold 5 Ep   8/60 | loss=0.124 | bal_acc=0.8286 f1=0.8478 auc=0.8952
Fold 5 Ep   9/60 | loss=0.100 | bal_acc=0.8577 f1=0.8655 auc=0.8951
Fold 5 Ep  10/60 | loss=0.107 | bal_acc=0.8715 f1=0.8693 auc=0.8935
Fold 5 Ep  11/60 | loss=0.102 | bal_acc=0.8577 f1=0.8655 auc=0.8971
Fold 5 Ep  12/60 | loss=0.111 | bal_acc=0.8577 f1=0.8655 auc=0.8958
Fold 5 Ep  13/60 | loss=0.111 | bal_acc=0.8577 f1=0.8655 auc=0.8971
Fold 5 Ep  14/60 | loss=0.094 | bal_acc=0.8678 f1=0.8663 auc=0.8955
Fold 5 Ep  15/60 | loss=0.090 | bal_acc=0.8577 f1=0.8655 auc=0.8954
Fold 5 Ep  16/60 | loss=0.092 | bal_acc=0.8577 f1=0.8655 auc=0.8973
Fold 5 Ep  17/60 | loss=0.089 | bal_acc=0.8678 f1=0.8663 auc=0.8970
Fold 5 Ep  18/60 | loss=0.094 | bal_acc=0.8577 f1=0.8655 auc=0.8952
Fold 5 Ep  19/60 | loss=0.085 | bal_acc=0.8678 f1=0.8663 auc=0.8956
Fold 5 Ep  20/60 | loss=0.090 | bal_acc=0.8577 f1=0.8655 auc=0.8956
Fold 5 Ep  21/60 | loss=0.092 | bal_acc=0.8577 f1=0.8655 auc=0.8954
